Sheet,계층1,계층2,계층3,계층4,계층5,계층6,계층7,계층8,설명,Level,Section,Item,Key,Description,Priority,Source,Category,Element,Value / Spec,Field
Header,Header,,,,,,,,,,,,,,,,,,,
Header,,가운데 노치,,,,,,,"우리 들어갈 사이트가 두개밖에 없으니까 아이폰 노치처럼, 천장 다 막는 답답한 헤더 말고 노치 형태의 탭 두개가 부드럽게 전환되는 ux 구현. 첨엔 런치에 있다가 Index 누르면 탭 강조하는 네모가 오른쪽 인덱스로 가는거",,,,,,,,,,,
Header,,,Launch,,,,,,launch 페이지로 이동,,,,,,,,,,,
Header,,,Index,,,,,,Index 페이지로 이동,,,,,,,,,,,
Launch,Launch,,,,,,,,사용자가 지갑을 연결 → 인덱스(종목 바스켓) 구성 → 레버리지와 비율 조정 → 미리보기 확인 → 결제 및 스왑 → Launch 실행,,,,,,,,,,,
Launch,,Hero,,,,,,,,,,,,,,,,,,
Launch,,,1행 오른쪽,,,,,,,,,,,,,,,,,
Launch,,,,Connect Wallet,,,,,헤더가 노치로 있으니까 이버튼은 메인에 있어야함,,,,,,,,,,,
Launch,,,1행 왼쪽,,,,,,,,,,,,,,,,,
Launch,,,,히어로 제목 부제목,,,,,"Index Creation Made Simple / Create, preview, and launch in one go",,,,,,,,,,,
Launch,,Basics,,,,,,,,,,,,,,,,,,
Launch,,,2행 왼쪽,,,,,,,,,,,,,,,,,
Launch,,,,Index Name,,,,,사용자가 생성할 인덱스 이름 입력,,,,,,,,,,,
Launch,,,,Ticker,,,,,심볼/티커 입력,,,,,,,,,,,
Launch,,,,Cover Image,,,,,이미지 업로드,,,,,,,,,,,
Launch,,,,Description,,,,,설명 텍스트,,,,,,,,,,,
Launch,,,,Social Link,,,,,선택 입력,,,,,,,,,,,
Launch,,Components,,,,,,,,,,,,,,,,,,
Launch,,,2행 가운데,,,,,,,,,,,,,,,,,
Launch,,,,Asset Search,,,,,하이퍼코어에서 자산 검색,,,,,,,,,,,
Launch,,,,Asset Cards,,,,,선택된 종목 리스트,,,,,,,,,,,
Launch,,,,,Asset Name,,,,,,,,,,,,,,,
Launch,,,,,Ticker,,,,,,,,,,,,,,,
Launch,,,,,Price,,,,,,,,,,,,,,,
Launch,,,,,,,,,,,,,,,,,,,,
Launch,,,,,,,,,,,,,,,,,,,,
Launch,,,,,,,,,,,,,,,,,,,,
Launch,,,,,Long/Short,,,,롱숏 선택,,,,,,,,,,,
Launch,,,,구매량 입력,,,,,"hype단위로 입력, USDC로 변환해서 보여주기",,,,,,,,,,,
Launch,,,,Asset Textbox,,,,,비율 숫자로 입력 (종목별로 입력창 뜨게 구현 종목이 세개면 세개 떠야함),,,,,,,,,,,
Launch,,,,Asset Slider,,,,,비율 조정,,,,,,,,,,,
Launch,,,,Leverage Textbox,,,,,레버리지 숫자로 입력,,,,,,,,,,,
Launch,,,,Leverage Slider,,,,,레버리지 조정,,,,,,,,,,,
Launch,,,,결정 버튼,,,,,누르면 프리뷰에 뜸,,,,,,,,,,,
Launch,,Preview,2행 오른쪽,,,,,,,,,,,,,,,,,
Launch,,,,Chart,,,,,"성과 차트 (1d, 7d)",,,,,,,,,,,
Launch,,,,Performance Metrics,,,,,"Return %, MDD",,,,,,,,,,,
Launch,,Checkout,,,,,,,,,,,,,,,,,,
Launch,,,3행,,,,,,,,,,,,,,,,,
Launch,,,,Summary Card,,,,,필요 금액/수수료/HYPE 보유량,,,,,,,,,,,
Launch,,,,Inline Swap,,,,,HYPE 부족 시 교환 기능,,,,,,,,,,,
Launch,,,,Launch Button,,,,,최종 실행 - 모달 띄우기,,,,,,,,,,,
Launch,,,,,Modal,,,,,,,,,,,,,,,
Launch,,,,,,Confirm,,,체크박스 포함 요약 확인 빨간색,,,,,,,,,,,
Launch,,,,,,Success,,,완료 메시지 및 공유 버튼,,,,,,,,,,,
Index,,,,,,,,,,1.0,Header,Notch tabs: Launch | Index,,Centered notch; keep minimal height,,,,,,
Index,,,,,,,,,,2.0,Header,Connect Wallet (right),,Island-style button on the top-right,,Privy,,,,
Index,,,,,,,,,,1.0,Toolbar,Search,search,"Search by name, symbol, and description",Required,Directory,,,,
